Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Mas de 30 Mbps
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28007.0,24674.0,246067.0,253078.0,245505.0,107502.0,3883235.0
28934.0,23347.0,259866.0,281550.0,244555.0,98670.0,3760109.0
